VISA,URL,SECTION,DESCRIPTION
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,FORMULARE,"Antrag auf Verlängerung eines Schengen-Visums (in Deutsch, Englisch und Türkisch)





                                        Antrag auf Verlängerung eines Schengen-Visums (in Deutsch, Französisch und Russisch)"
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,GEBÜHREN,"frei: wenn das Schengen-Visum wegen höherer Gewalt oder aus humanitären Gründen verlängert wird30,00 Euro: wenn das Schengen-Visum wegen schwerwiegender persönlicher Gründe oder verspäteter Einreise verlängert wird.
Wird eine zweite Verlängerung erforderlich, betragen die 
60,00 Euro für Erwachsene30,00 Euro für Minderjährige"
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,RECHTSGRUNDLAGEN,"§ 6 Abs. 2 AufenthG





                                        Art. 33 Visakodex (EG-Verordnung Nr. 810/2009 vom 13.07.2009)"
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,In der Regel bei Vorsprache
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,ZUSTÄNDIGE BEHÖRDEN,"Die Dienstleistung kann nur beim Landesamt für Einwanderung (LEA) am Standort Keplerstr. in Anspruch genommen werden.
Bitte vereinbaren Sie dazu einen Termin per E-Mail an b5@lea.berlin.de.                




Landesamt für Einwanderung (LEA)




LEA, Keplerstr.


Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,VORAUSSETZUNGEN,"Für Opfer des Erdbebens in der Türkei gilt ein besonderes Verfahren





                                Persönliches Erscheinen mit Termin                                


Ihre Verpflichtungserklärung können Sie nur persönlich und mit einem vorher gebuchten Termin abgeben.Buchen Sie bitte für jede gewünschte Verpflichtungserklärung einen eigenen Termin.Soll die Verpflichtungserklärung für mitreisende Ehegatten und minderjährige ledige Kinder Ihres Besuchs ausgestellt werden, genügt ein Termin. Für andere mitreisende Familienangehörige Ihres Besuchs buchen Sie bitte jeweils einen eigenen Termin.Wenn Sie die Erklärung für eine juristische Person abgeben, müssen Sie vertretungsbefugt sein. 



                                Besucher oder Besucherin hat Kurzaufenthalt geplant                                


                                    Ihr Besuch hat einen Kurzaufenthalt in Deutschland geplant. Es steht schon fest, wann er nach Deutschland einreist und wann er wieder ausreist.                                



                                Genug Einkommen oder Sparguthaben                                


Sie sollten in der Lage sein, aus eigenem Einkommen oder Sparguthaben alle Kosten zu bezahlen, die durch den Aufenthalt Ihres Besuches in Deutschland entstehen können. Das wird danach beurteilt, wie hoch Ihr Einkommen oder Ihr Guthaben auf Spar- oder Festgeldkonten ist und wie viele Gäste Sie einladen möchten.Eine Übersicht über das jeweils erforderliche Einkommen oder Sparguthaben finden Sie im Abschnitt „Weiterführende Informationen“.Wenn Sie die finanzielle Leistungsfähigkeit nicht glaubhaft machen können, wird dies auf der Verpflichtungserklärung vermerkt. 



                                Wohnsitz in Berlin (bei juristischen Personen: Sitz in Berlin)                                


Sie wohnen in Berlin und sind hier gemeldet. Ein Zweit-Wohnsitz in Berlin reicht aus.Wenn ein Unternehmen oder ein Verein oder eine andere juristische Person die Erklärung abgibt, muss die juristische Person ihren Sitz in Berlin haben. 



                                Ohne EU- oder EWR-Staatsbürgerschaft: Gültiger Aufenthaltstitel                                


Sie besitzen nicht die deutsche Staatsangehörigkeit, die eines anderen EU-Staates oder von Island, Liechtenstein oder Norwegen? Dann benötigen Sie einen gültigen Aufenthaltstitel, zum Beispiel eine Aufenthaltserlaubnis oder Niederlassungserlaubnis.Ihr Aufenthaltstitel muss länger gültig sein als Ihr Besuch in Deutschland bleiben will. Wie lange er danach noch gültig sein muss, hängt vom Einzelfall ab.Eine Aufenthaltsgestattung, Duldung oder Fiktionsbescheinigung reicht nicht aus."
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,ERFORDERLICHE UNTERLAGEN,"Formular „Angaben zur Verpflichtungserklärung“ (ausgefüllt)                                

Bitte bringen Sie das Formular möglichst vollständig, richtig und deutlich lesbar ausgefüllt mit.Mitreisende Ehegatten und minderjährige ledige Kinder Ihres Besuchs können in dasselbe Formular eingetragen werden.Für andere mitreisende Familienangehörige Ihres Besuchs füllen Sie bitte jeweils eine eigene Verpflichtungserklärung aus.Die Angaben sind freiwillig. Unvollständige Angaben können allerdings zur Ablehnung des Visums führen. 



                                Formular „Belehrung zur Speicherung und Nutzung der Antragsdaten im VIS“ (ausgefüllt)                                



                                Formular „Zusatzerklärung zur Verpflichtungserklärung“                                 

Bitte lesen Sie sich die Informationen in dem Formular vor Ihrem Termin bei uns sorgfältig durch.Sollten Sie dazu noch Fragen haben, beantworten wir Ihnen diese gern bei Ihrem Termin.Bringen Sie das Formular bitte zum Termin mit, aber ohne Unterschrift. 



                                Nachweise über Ihr Einkommen oder Sparguthaben (im Original)                                 

Wenn Sie Arbeitnehmer oder Arbeitnehmerin sind:
die letzten drei NettoverdienstbescheinigungenIhr Arbeitgeber stellt Nettoverdienstbescheinigungen nicht monatlich, sondern nur bei Veränderungen Ihres Gehalts aus? Dann bringen Sie bitte die letzte Nettoverdienstbescheinigung mit und weisen die letzten 3 Gehaltseingänge durch Kontoauszüge nach.Wenn Sie Rente beziehen:
Bescheid über Ihre AltersrenteWenn Sie Arbeitslosengeld I beziehen:
FestsetzungsbescheidWenn Sie selbständig oder freiberuflich tätig sind:
letzter Steuerbescheid (bei Antragstellung bis zum 30.06. der Steuerbescheid vom vorletzten Jahr, bei Antragstellung ab dem 01.07. der Steuerbescheid vom letzten Jahr) odereine Bescheinigung über das ungefähre aktuelle Netto-Einkommen der letzten 3 Monate; Die Bescheinigung (nicht älter als 14 Tage) müsste von einer Person ausgestellt sein, die als Steuerberater, Wirtschaftsprüfer oder Rechtsanwalt (nur mit einschlägiger Berufserfahrung im Steuerrecht) tätig ist.Eine betriebswirtschaftliche Auswertung ist nicht ausreichend.                                



                                Ihre Krankenversicherung                                

                                    Nachweis über
die freiwillige Mitgliedschaft in der gesetzlichen Krankenversicherung oderdie Höhe der Beiträge für eine eventuell bestehende private Krankenversicherung 



                                Bei juristischen Personen: Nachweis der Vertretungsbefugnis                                

                                    zum Beispiel durch einen Auszug aus dem Handelsregister oder aus dem Vereinsregister                                



                                Ausweis-Dokument                                

Ihr Personalausweis oder Ihr ReisepassKopie vom Pass der Person, die das Kurzaufenthalts-Visum beantragt 



                                Wenn Sie kein regelmäßiges Einkommen haben: Nachweise über Sparguthaben (im Original)                                 

                                    Es können nur Spar- oder Festgeldkonten bei deutschen Geldinstituten berücksichtigt werden (keine Aktien, Fonds, sonstige Wertpapiere oder spekulativen Anlagen).                                



                                Weitere Unterlagen                                

                                    Im Einzelfall können weitere Unterlagen erforderlich sein."
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,FORMULARE,"Angaben zur Verpflichtungserklärung





                                        Belehrung zur Speicherung und Nutzung der Antragsdaten im VIS





                                        Zusatzerklärung zur Verpflichtungserklärung"
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,GEBÜHREN,"29,00 Euro je Verpflichtungserklärung"
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,RECHTSGRUNDLAGEN,Aufenthaltsgesetz (AufenthaltG) §§ 66 - 68
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,30 Minuten
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,WEITERFÜHRENDE INFORMATIONEN,"Visa für Opfer des Erdbebens in der Türkei mit Verwandten in Berlin - Abgabe von Verpflichtungserklärungen





                                    Übersicht über das erforderliche Einkommen oder Sparguthaben 





                                    Website des Auswärtigen Amtes zum Thema Visa für Kurz-Aufenthalte"
Verpflichtungserklärung für einen kurzen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/120691/,ZUSTÄNDIGE BEHÖRDEN,"Landesamt für Einwanderung (LEA)




LEA, Keplerstr.
Termin buchen

Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,VORAUSSETZUNGEN,"Antrag auf ein nationales Visum für einen langfristigen Aufenthalt                                


                                    Bei einer deutschen Auslandsvertretung (Botschaft, Konsulat) wurde ein Antrag auf ein nationales Visum für einen langfristigen Aufenthalt (mehr als 90 Tage) gestellt oder soll bald gestellt werden.                                



                                Verfahren für eine Terminvereinbarung                                 


                                    Bitte nehmen Sie per E-Mail oder Post Kontakt zu uns auf:
E-Mail: B5@lea.berlin.dePost: Landesamt für Einwanderung, B 5, Friedrich-Krause-Ufer 24, 13353 Berlin
Bitte nennen Sie hierbei den Aufenthaltszweck für das beantragte Visum (zum Beispiel Studium oder Eheschließung) und teilen Sie uns mit, ob Sie Selbständig oder Arbeitnehmer, Pensionär etc. sind, damit wir Ihnen alle erforderlichen Unterlagen mitteilen können. Erst nach Eingang und Prüfung der Unterlagen werden wir Ihnen einen Termin anbieten. Bitte fügen Sie dafür auch Ihre Kontaktdaten (Personalien, Anschrift, Telefonnummer, E-Mail-Adresse) bei.

Von telefonischen Anfragen zwecks Terminvergabe bitten wir im Interesse einer zügigen Bearbeitung abzusehen.                                



                                Bonität                                


                                    Sie müssen finanziell in der Lage sein, die Kosten des Lebensunterhalts übernehmen zu können. Die Höhe des monatlichen Mindest-Nettoeinkommens richtet sich nach Ihrem Familienstand und den daraus resultierenden Unterhaltsverpflichtungen sowie dem beantragten Aufenthaltszweck.

Die Mindest-Nettoeinkommen betragen zum Beispiel für ein Visum:
zum Sprachkurs / Schulbesuch: 2.590 Euro ohne Unterhaltsverpflichtung / 3.590 Euro bei Unterhaltsverpflichtung für 1 Person / 4.169 Euro für bei Unterhaltsverpflichtung für 2 Personenzum Studium / für eine berufliche Ausbildung: 2.630 ohne Unterhaltsverpflichtung / 3.650 Euro bei Unterhaltsverpflichtung für 1 Person / 4.200 Euro bei Unterhaltsverpflichtung für 2 Personenzur Arbeitsplatzsuche oder Eheschließung: 2.760 Euro ohne Unterhaltsverpflichtung / 3.830 Euro bei Unterhaltsverpflichtung für 1 Person / 4.290 Euro bei Unterhaltsverpflichtung für 2 Personen"
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,ERFORDERLICHE UNTERLAGEN,"Formular „Angaben zur Verpflichtungserklärung“ (ausgefüllt)                                 

Bitte bringen Sie das Formular möglichst vollständig, richtig und deutlich lesbar ausgefüllt mit.Die Angaben sind freiwillig. Unvollständige Angaben können allerdings zur Ablehnung des Visums führen. 



                                Formular ""Zusatzerklärung zur Verpflichtungserklärung"" (ausgefüllt)                                



                                Ihr Personalausweis oder Pass                                



                                Passkopie der Person, die das nationale Visum beantragt                                



                                Angaben zum Familienstand und zu bestehenden Unterhaltsverpflichtungen                                

                                    z.B. Ehegatten, minderjährige Kinder etc.                                



                                Nachweise zur Bonität                                

                                    z.B. Arbeitsvertrag, die letzten sechs Gehaltsnachweise, Rentenbescheid etc.                                



                                Nachweis über Hauptwohnsitz in Berlin                                

                                    z.B. Meldebestätigung, Einzugsbescheinigung des Vermieters etc.                                



                                Weitere Unterlagen                                

                                    Die genauen erforderlichen Unterlagen werden Ihnen nach der Kontaktaufnahme mitgeteilt, da diese je nach Einzelfall unterschiedlich sein können z.B. Bonitätsnachweise bei Selbständigen oder Arbeitnehmern."
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,FORMULARE,"Angaben zur Verpflichtungserklärung





                                        Zusatzerklärung zur Verpflichtungserklärung





                                        Prüfungsbericht (Für juristische Personen)"
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,GEBÜHREN,"29,00 Euro"
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,RECHTSGRUNDLAGEN,"Aufenthaltsgesetz (AufenthG) §§ 66 bis 68





                                        Aufenthaltsgesetz (AufenthG) § 5 





                                        Aufenthaltsgesetz (AufenthG) § 2"
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,In der Regel wird die Verpflichtungserklärung bei der Vorsprache mit Termin ausgestellt.
Verpflichtungserklärung für einen langfristigen Aufenthalt,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/326540/,WEITERFÜHRENDE INFORMATIONEN,"Aufnahmeregelung für syrische und irakische Flüchtlinge mit Verwandten in Berlin





                                    Verpflichtungserklärung für kurzfristige Aufenthalte (Besuchsaufenthalte und Geschäftsreisen)





                                    Bescheinigung über die Anmeldung einer Wohnung (Meldebestätigung)





                                    Muster: Einzugsbestätigung des Vermieters





                                    Bescheinigung in Steuersachen"
